Year,District,Code,Location,type_of_crime,total
2012,Mitte,10331,Osloer Straße,Bike,280
2012,Mitte,10331,Osloer Straße,Burglary,226
2012,Mitte,10331,Osloer Straße,Fire,40
2012,Mitte,10331,Osloer Straße,Arson,18
2012,Mitte,10331,Osloer Straße,Damage,521
2012,Mitte,10331,Osloer Straße,Graffiti,72
2012,Mitte,10331,Osloer Straße,Drugs,246
2012,Mitte,10331,Osloer Straße,Local,1699
2012,Mitte,10332,Brunnenstraße Nord,Robbery,145
2012,Mitte,10332,Brunnenstraße Nord,Street_robbery,71
2012,Mitte,10332,Brunnenstraße Nord,Injury,675
2012,Mitte,10332,Brunnenstraße Nord,Agg_assault,192
2012,Mitte,10332,Brunnenstraße Nord,Threat,191
2012,Mitte,10332,Brunnenstraße Nord,Theft,2928
2012,Mitte,10332,Brunnenstraße Nord,Car,76
2012,Mitte,10332,Brunnenstraße Nord,From_car,473
2012,Mitte,10332,Brunnenstraße Nord,Bike,218
2012,Mitte,10332,Brunnenstraße Nord,Burglary,252
2012,Mitte,10332,Brunnenstraße Nord,Fire,36
2012,Mitte,10332,Brunnenstraße Nord,Arson,7
2012,Mitte,10332,Brunnenstraße Nord,Damage,495
2012,Mitte,10332,Brunnenstraße Nord,Graffiti,72
2012,Mitte,10332,Brunnenstraße Nord,Drugs,162
2012,Mitte,10332,Brunnenstraße Nord,Local,1532
2012,Mitte,10441,Parkviertel,Robbery,109
2012,Mitte,10441,Parkviertel,Street_robbery,48
2012,Mitte,10441,Parkviertel,Injury,783
2012,Mitte,10441,Parkviertel,Agg_assault,211
2012,Mitte,10441,Parkviertel,Threat,318
2012,Mitte,10441,Parkviertel,Theft,2879
2012,Mitte,10441,Parkviertel,Car,77
2012,Mitte,10441,Parkviertel,From_car,564
2012,Mitte,10441,Parkviertel,Bike,365
2012,Mitte,10441,Parkviertel,Burglary,157
2012,Mitte,10441,Parkviertel,Fire,55
2012,Mitte,10441,Parkviertel,Arson,20
2012,Mitte,10441,Parkviertel,Damage,568
2012,Mitte,10441,Parkviertel,Graffiti,65
2012,Mitte,10441,Parkviertel,Drugs,244
2012,Mitte,10441,Parkviertel,Local,1794
2012,Mitte,10442,Wedding Zentrum,Robbery,216
2012,Mitte,10442,Wedding Zentrum,Street_robbery,104
2012,Mitte,10442,Wedding Zentrum,Injury,1210
2012,Mitte,10442,Wedding Zentrum,Agg_assault,426
2012,Mitte,10442,Wedding Zentrum,Threat,384
2012,Mitte,10442,Wedding Zentrum,Theft,3396
2012,Mitte,10442,Wedding Zentrum,Car,57
2012,Mitte,10442,Wedding Zentrum,From_car,424
2012,Mitte,10442,Wedding Zentrum,Bike,294
2012,Mitte,10442,Wedding Zentrum,Burglary,298
2012,Mitte,10442,Wedding Zentrum,Fire,54
2012,Mitte,10442,Wedding Zentrum,Arson,23
2012,Mitte,10442,Wedding Zentrum,Damage,806
2012,Mitte,10442,Wedding Zentrum,Graffiti,87
2012,Mitte,10442,Wedding Zentrum,Drugs,570
2012,Mitte,10442,Wedding Zentrum,Local,2556
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Robbery,15
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Street_robbery,9
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Injury,435
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Agg_assault,147
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Threat,49
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Theft,2487
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Car,6
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",From_car,45
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Bike,31
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Burglary,0
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Fire,5
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Arson,0
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Damage,263
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Graffiti,140
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Drugs,35
