Year,District,Code,Location,type_of_crime,total
2014,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Arson,5
2014,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Damage,84
2014,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Graffiti,0
2014,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Drugs,149
2014,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Local,306
2014,Pankow,30101,Buch,Robbery,6
2014,Pankow,30101,Buch,Street_robbery,3
2014,Pankow,30101,Buch,Injury,123
2014,Pankow,30101,Buch,Agg_assault,32
2014,Pankow,30101,Buch,Threat,79
2014,Pankow,30101,Buch,Theft,761
2014,Pankow,30101,Buch,Car,30
2014,Pankow,30101,Buch,From_car,194
2014,Pankow,30101,Buch,Bike,95
2014,Pankow,30101,Buch,Burglary,24
2014,Pankow,30101,Buch,Fire,19
2014,Pankow,30101,Buch,Arson,8
2014,Pankow,30101,Buch,Damage,171
2014,Pankow,30101,Buch,Graffiti,25
2014,Pankow,30101,Buch,Drugs,20
2014,Pankow,30101,Buch,Local,307
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Robbery,7
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Street_robbery,2
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Injury,120
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Agg_assault,30
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Threat,59
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Theft,759
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Car,23
2014,Pankow,30202,Blankenfelde/Niederschönhausen,From_car,168
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Bike,124
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Burglary,85
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Fire,14
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Arson,4
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Damage,144
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Graffiti,22
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Drugs,13
2014,Pankow,30202,Blankenfelde/Niederschönhausen,Local,321
2014,Pankow,30203,Buchholz,Robbery,2
2014,Pankow,30203,Buchholz,Street_robbery,1
2014,Pankow,30203,Buchholz,Injury,68
2014,Pankow,30203,Buchholz,Agg_assault,16
2014,Pankow,30203,Buchholz,Threat,31
2014,Pankow,30203,Buchholz,Theft,459
2014,Pankow,30203,Buchholz,Car,21
2014,Pankow,30203,Buchholz,From_car,78
2014,Pankow,30203,Buchholz,Bike,51
2014,Pankow,30203,Buchholz,Burglary,38
2014,Pankow,30203,Buchholz,Fire,2
2014,Pankow,30203,Buchholz,Arson,0
2014,Pankow,30203,Buchholz,Damage,97
2014,Pankow,30203,Buchholz,Graffiti,27
2014,Pankow,30203,Buchholz,Drugs,9
2014,Pankow,30203,Buchholz,Local,148
2014,Pankow,30304,Karow,Robbery,4
2014,Pankow,30304,Karow,Street_robbery,3
2014,Pankow,30304,Karow,Injury,49
2014,Pankow,30304,Karow,Agg_assault,8
2014,Pankow,30304,Karow,Threat,23
2014,Pankow,30304,Karow,Theft,397
2014,Pankow,30304,Karow,Car,9
2014,Pankow,30304,Karow,From_car,89
2014,Pankow,30304,Karow,Bike,104
2014,Pankow,30304,Karow,Burglary,50
2014,Pankow,30304,Karow,Fire,2
2014,Pankow,30304,Karow,Arson,0
2014,Pankow,30304,Karow,Damage,100
2014,Pankow,30304,Karow,Graffiti,8
2014,Pankow,30304,Karow,Drugs,9
2014,Pankow,30304,Karow,Local,143
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Robbery,8
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Street_robbery,1
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Injury,80
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Agg_assault,17
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Threat,48
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Theft,839
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Car,17
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,From_car,135
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Bike,105
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Burglary,53
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Fire,7
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Arson,7
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Damage,112
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Graffiti,8
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Drugs,7
2014,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Local,201
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Robbery,9
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Street_robbery,3
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Injury,56
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Agg_assault,6
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Threat,38
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Theft,622
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Car,19
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,From_car,111
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Bike,100
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Burglary,67
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Fire,5
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Arson,0
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Damage,117
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Graffiti,20
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Drugs,14
2014,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Local,217
2014,Pankow,30406,Pankow Zentrum,Robbery,35
2014,Pankow,30406,Pankow Zentrum,Street_robbery,20
2014,Pankow,30406,Pankow Zentrum,Injury,186
2014,Pankow,30406,Pankow Zentrum,Agg_assault,42
2014,Pankow,30406,Pankow Zentrum,Threat,80
2014,Pankow,30406,Pankow Zentrum,Theft,2190
2014,Pankow,30406,Pankow Zentrum,Car,56
2014,Pankow,30406,Pankow Zentrum,From_car,237
2014,Pankow,30406,Pankow Zentrum,Bike,614
2014,Pankow,30406,Pankow Zentrum,Burglary,69
2014,Pankow,30406,Pankow Zentrum,Fire,25
2014,Pankow,30406,Pankow Zentrum,Arson,11
2014,Pankow,30406,Pankow Zentrum,Damage,316
2014,Pankow,30406,Pankow Zentrum,Graffiti,74
2014,Pankow,30406,Pankow Zentrum,Drugs,36
2014,Pankow,30406,Pankow Zentrum,Local,711
2014,Pankow,30408,Pankow Süd,Robbery,26
2014,Pankow,30408,Pankow Süd,Street_robbery,15
2014,Pankow,30408,Pankow Süd,Injury,162
2014,Pankow,30408,Pankow Süd,Agg_assault,47
2014,Pankow,30408,Pankow Süd,Threat,75
2014,Pankow,30408,Pankow Süd,Theft,1392
2014,Pankow,30408,Pankow Süd,Car,69
2014,Pankow,30408,Pankow Süd,From_car,220
2014,Pankow,30408,Pankow Süd,Bike,386
2014,Pankow,30408,Pankow Süd,Burglary,72
2014,Pankow,30408,Pankow Süd,Fire,13
2014,Pankow,30408,Pankow Süd,Arson,10
2014,Pankow,30408,Pankow Süd,Damage,303
2014,Pankow,30408,Pankow Süd,Graffiti,53
2014,Pankow,30408,Pankow Süd,Drugs,21
2014,Pankow,30408,Pankow Süd,Local,670
2014,Pankow,30509,Weißensee,Robbery,28
2014,Pankow,30509,Weißensee,Street_robbery,14
2014,Pankow,30509,Weißensee,Injury,289
2014,Pankow,30509,Weißensee,Agg_assault,67
2014,Pankow,30509,Weißensee,Threat,109
2014,Pankow,30509,Weißensee,Theft,1669
2014,Pankow,30509,Weißensee,Car,67
2014,Pankow,30509,Weißensee,From_car,219
2014,Pankow,30509,Weißensee,Bike,257
2014,Pankow,30509,Weißensee,Burglary,65
2014,Pankow,30509,Weißensee,Fire,19
2014,Pankow,30509,Weißensee,Arson,4
2014,Pankow,30509,Weißensee,Damage,382
2014,Pankow,30509,Weißensee,Graffiti,79
2014,Pankow,30509,Weißensee,Drugs,37
2014,Pankow,30509,Weißensee,Local,839
2014,Pankow,30510,Weißensee Ost,Robbery,5
2014,Pankow,30510,Weißensee Ost,Street_robbery,4
2014,Pankow,30510,Weißensee Ost,Injury,146
2014,Pankow,30510,Weißensee Ost,Agg_assault,27
2014,Pankow,30510,Weißensee Ost,Threat,53
2014,Pankow,30510,Weißensee Ost,Theft,591
2014,Pankow,30510,Weißensee Ost,Car,26
2014,Pankow,30510,Weißensee Ost,From_car,132
2014,Pankow,30510,Weißensee Ost,Bike,80
2014,Pankow,30510,Weißensee Ost,Burglary,36
2014,Pankow,30510,Weißensee Ost,Fire,8
2014,Pankow,30510,Weißensee Ost,Arson,2
2014,Pankow,30510,Weißensee Ost,Damage,180
2014,Pankow,30510,Weißensee Ost,Graffiti,32
2014,Pankow,30510,Weißensee Ost,Drugs,24
2014,Pankow,30510,Weißensee Ost,Local,326
2014,Pankow,30611,Prenzlauer Berg Nordwest,Robbery,38
2014,Pankow,30611,Prenzlauer Berg Nordwest,Street_robbery,22
2014,Pankow,30611,Prenzlauer Berg Nordwest,Injury,224
2014,Pankow,30611,Prenzlauer Berg Nordwest,Agg_assault,61
2014,Pankow,30611,Prenzlauer Berg Nordwest,Threat,56
2014,Pankow,30611,Prenzlauer Berg Nordwest,Theft,1935
2014,Pankow,30611,Prenzlauer Berg Nordwest,Car,51
2014,Pankow,30611,Prenzlauer Berg Nordwest,From_car,234
2014,Pankow,30611,Prenzlauer Berg Nordwest,Bike,507
2014,Pankow,30611,Prenzlauer Berg Nordwest,Burglary,45
2014,Pankow,30611,Prenzlauer Berg Nordwest,Fire,12
2014,Pankow,30611,Prenzlauer Berg Nordwest,Arson,4
2014,Pankow,30611,Prenzlauer Berg Nordwest,Damage,319
2014,Pankow,30611,Prenzlauer Berg Nordwest,Graffiti,90
2014,Pankow,30611,Prenzlauer Berg Nordwest,Drugs,76
2014,Pankow,30611,Prenzlauer Berg Nordwest,Local,760
2014,Pankow,30612,Prenzlauer Berg Nord,Robbery,31
2014,Pankow,30612,Prenzlauer Berg Nord,Street_robbery,13
2014,Pankow,30612,Prenzlauer Berg Nord,Injury,168
2014,Pankow,30612,Prenzlauer Berg Nord,Agg_assault,37
2014,Pankow,30612,Prenzlauer Berg Nord,Threat,56
2014,Pankow,30612,Prenzlauer Berg Nord,Theft,1984
2014,Pankow,30612,Prenzlauer Berg Nord,Car,80
2014,Pankow,30612,Prenzlauer Berg Nord,From_car,213
2014,Pankow,30612,Prenzlauer Berg Nord,Bike,546
2014,Pankow,30612,Prenzlauer Berg Nord,Burglary,38
2014,Pankow,30612,Prenzlauer Berg Nord,Fire,7
2014,Pankow,30612,Prenzlauer Berg Nord,Arson,4
2014,Pankow,30612,Prenzlauer Berg Nord,Damage,284
2014,Pankow,30612,Prenzlauer Berg Nord,Graffiti,123
2014,Pankow,30612,Prenzlauer Berg Nord,Drugs,35
2014,Pankow,30612,Prenzlauer Berg Nord,Local,627
2014,Pankow,30613,Helmholtzplatz,Robbery,10
2014,Pankow,30613,Helmholtzplatz,Street_robbery,4
2014,Pankow,30613,Helmholtzplatz,Injury,137
2014,Pankow,30613,Helmholtzplatz,Agg_assault,40
2014,Pankow,30613,Helmholtzplatz,Threat,32
2014,Pankow,30613,Helmholtzplatz,Theft,1472
2014,Pankow,30613,Helmholtzplatz,Car,47
2014,Pankow,30613,Helmholtzplatz,From_car,109
2014,Pankow,30613,Helmholtzplatz,Bike,364
2014,Pankow,30613,Helmholtzplatz,Burglary,95
2014,Pankow,30613,Helmholtzplatz,Fire,7
2014,Pankow,30613,Helmholtzplatz,Arson,4
2014,Pankow,30613,Helmholtzplatz,Damage,215
2014,Pankow,30613,Helmholtzplatz,Graffiti,64
2014,Pankow,30613,Helmholtzplatz,Drugs,23
2014,Pankow,30613,Helmholtzplatz,Local,609
2014,Pankow,30614,Prenzlauer Berg Ost,Robbery,30
2014,Pankow,30614,Prenzlauer Berg Ost,Street_robbery,18
2014,Pankow,30614,Prenzlauer Berg Ost,Injury,247
2014,Pankow,30614,Prenzlauer Berg Ost,Agg_assault,60
2014,Pankow,30614,Prenzlauer Berg Ost,Threat,63
2014,Pankow,30614,Prenzlauer Berg Ost,Theft,2298
2014,Pankow,30614,Prenzlauer Berg Ost,Car,92
2014,Pankow,30614,Prenzlauer Berg Ost,From_car,313
2014,Pankow,30614,Prenzlauer Berg Ost,Bike,351
2014,Pankow,30614,Prenzlauer Berg Ost,Burglary,77
2014,Pankow,30614,Prenzlauer Berg Ost,Fire,10
2014,Pankow,30614,Prenzlauer Berg Ost,Arson,4
2014,Pankow,30614,Prenzlauer Berg Ost,Damage,546
2014,Pankow,30614,Prenzlauer Berg Ost,Graffiti,228
2014,Pankow,30614,Prenzlauer Berg Ost,Drugs,51
2014,Pankow,30614,Prenzlauer Berg Ost,Local,701
2014,Pankow,30715,Prenzlauer Berg Südwest,Robbery,24
2014,Pankow,30715,Prenzlauer Berg Südwest,Street_robbery,13
2014,Pankow,30715,Prenzlauer Berg Südwest,Injury,319
2014,Pankow,30715,Prenzlauer Berg Südwest,Agg_assault,95
2014,Pankow,30715,Prenzlauer Berg Südwest,Threat,56
2014,Pankow,30715,Prenzlauer Berg Südwest,Theft,2267
2014,Pankow,30715,Prenzlauer Berg Südwest,Car,62
2014,Pankow,30715,Prenzlauer Berg Südwest,From_car,192
2014,Pankow,30715,Prenzlauer Berg Südwest,Bike,426
2014,Pankow,30715,Prenzlauer Berg Südwest,Burglary,187
2014,Pankow,30715,Prenzlauer Berg Südwest,Fire,8
2014,Pankow,30715,Prenzlauer Berg Südwest,Arson,2
2014,Pankow,30715,Prenzlauer Berg Südwest,Damage,351
2014,Pankow,30715,Prenzlauer Berg Südwest,Graffiti,110
2014,Pankow,30715,Prenzlauer Berg Südwest,Drugs,31
2014,Pankow,30715,Prenzlauer Berg Südwest,Local,934
2014,Pankow,30716,Prenzlauer Berg Süd,Robbery,13
2014,Pankow,30716,Prenzlauer Berg Süd,Street_robbery,7
2014,Pankow,30716,Prenzlauer Berg Süd,Injury,145
2014,Pankow,30716,Prenzlauer Berg Süd,Agg_assault,28
2014,Pankow,30716,Prenzlauer Berg Süd,Threat,49
2014,Pankow,30716,Prenzlauer Berg Süd,Theft,1697
2014,Pankow,30716,Prenzlauer Berg Süd,Car,100
2014,Pankow,30716,Prenzlauer Berg Süd,From_car,229
2014,Pankow,30716,Prenzlauer Berg Süd,Bike,380
2014,Pankow,30716,Prenzlauer Berg Süd,Burglary,137
2014,Pankow,30716,Prenzlauer Berg Süd,Fire,13
2014,Pankow,30716,Prenzlauer Berg Süd,Arson,6
2014,Pankow,30716,Prenzlauer Berg Süd,Damage,321
2014,Pankow,30716,Prenzlauer Berg Süd,Graffiti,73
2014,Pankow,30716,Prenzlauer Berg Süd,Drugs,29
2014,Pankow,30716,Prenzlauer Berg Süd,Local,738
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Robbery,37
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Street_robbery,27
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Injury,68
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Agg_assault,22
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Threat,44
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Theft,678
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Car,47
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",From_car,201
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Bike,170
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Burglary,0
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Fire,1
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Arson,0
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Damage,36
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Graffiti,0
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Drugs,65
2014,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",Local,211
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Robbery,47
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Street_robbery,25
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Injury,302
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Agg_assault,59
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Threat,120
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Theft,1216
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Car,54
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,From_car,396
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Bike,64
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Burglary,76
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Fire,9
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Arson,4
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Damage,246
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Graffiti,50
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Drugs,160
2014,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,Local,759
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Robbery,16
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Street_robbery,10
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Injury,163
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Agg_assault,52
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Threat,41
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Theft,692
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Car,54
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,From_car,191
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Bike,56
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Burglary,96
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Fire,1
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Arson,1
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Damage,184
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Graffiti,76
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Drugs,26
2014,Charlottenburg-Wilmersdorf,40202,Heerstrasse,Local,307
2014,Charlottenburg-Wilmersdorf,40203,Westend,Robbery,36
2014,Charlottenburg-Wilmersdorf,40203,Westend,Street_robbery,24
2014,Charlottenburg-Wilmersdorf,40203,Westend,Injury,222
2014,Charlottenburg-Wilmersdorf,40203,Westend,Agg_assault,44
2014,Charlottenburg-Wilmersdorf,40203,Westend,Threat,121
2014,Charlottenburg-Wilmersdorf,40203,Westend,Theft,2767
2014,Charlottenburg-Wilmersdorf,40203,Westend,Car,64
2014,Charlottenburg-Wilmersdorf,40203,Westend,From_car,406
2014,Charlottenburg-Wilmersdorf,40203,Westend,Bike,193
2014,Charlottenburg-Wilmersdorf,40203,Westend,Burglary,112
2014,Charlottenburg-Wilmersdorf,40203,Westend,Fire,12
2014,Charlottenburg-Wilmersdorf,40203,Westend,Arson,8
2014,Charlottenburg-Wilmersdorf,40203,Westend,Damage,280
2014,Charlottenburg-Wilmersdorf,40203,Westend,Graffiti,55
2014,Charlottenburg-Wilmersdorf,40203,Westend,Drugs,20
2014,Charlottenburg-Wilmersdorf,40203,Westend,Local,776
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Robbery,30
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Street_robbery,8
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Injury,242
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Agg_assault,53
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Threat,101
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Theft,1205
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Car,23
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,From_car,165
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Bike,231
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Burglary,88
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Fire,6
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Arson,3
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Damage,233
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Graffiti,67
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Drugs,38
2014,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,Local,643
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Robbery,41
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Street_robbery,16
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Injury,138
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Agg_assault,39
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Threat,68
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Theft,825
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Car,16
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,From_car,205
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Bike,71
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Burglary,42
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Fire,5
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Arson,0
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Damage,119
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Graffiti,16
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Drugs,151
2014,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,Local,369
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Robbery,52
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Street_robbery,28
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Injury,429
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Agg_assault,87
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Threat,163
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Theft,2391
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Car,50
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,From_car,289
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Bike,361
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Burglary,118
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Fire,12
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Arson,3
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Damage,368
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Graffiti,77
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Drugs,79
2014,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,Local,1040
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Robbery,36
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Street_robbery,12
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Injury,235
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Agg_assault,59
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Threat,77
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Theft,1598
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Car,57
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,From_car,323
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Bike,277
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Burglary,110
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Fire,11
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Arson,7
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Damage,219
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Graffiti,55
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Drugs,116
2014,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,Local,660
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Robbery,54
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Street_robbery,21
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Injury,232
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Agg_assault,51
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Threat,117
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Theft,2830
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Car,24
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,From_car,216
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Bike,321
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Burglary,103
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Fire,10
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Arson,4
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Damage,225
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Graffiti,22
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Drugs,138
2014,Charlottenburg-Wilmersdorf,40308,Kantstraße,Local,664
2014,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,Robbery,107
2014,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,Street_robbery,52
2014,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,Injury,919
2014,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,Agg_assault,278
2014,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,Threat,185
2014,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,Theft,4781
2014,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,Car,48
2014,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,From_car,377
2014,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,Bike,216
2014,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,Burglary,106
2014,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,Fire,9
2014,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,Arson,6
